,datetime,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,%k,%d,macd,macd_signal,macd_hist,RSI_14,RSI_14_A_50,RSI_14_B_55,EMA10,EMA30,ATR,ClgtEMA10,EMA10gtEMA30,MACDSIGgtMACD,Return,OBV,OBV_EMA,RSI_14_A_41,RSI_14_B_51,Buy,Sell,RSI_31,RSI_31_A_41,RSI_31_B_51,RSI_14_B_56,RSI_31_B_56,RSI_14_A_46,RSI_31_A_46,prediction
2022-03-01 08:00:00,1646092800000.0,0.962,1.011,0.939,0.963,234764266.6,1646179199999.0,227552504.5608,333114.0,115627793.2,112142449.9794,0.0,39.51841426925323,39.514128077272915,0.0,0.0,0.0,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.04426065573770492,1,1,-1,-0.024922118380062308,0.0,0.0,0,0,0,0,,0,0,0,0,0,0,0
2022-03-02 08:00:00,1646179200000.0,0.964,0.977,0.927,0.939,149491898.8,1646265599999.0,142500770.6719,226130.0,74102858.4,70670333.3728,0.0,39.51841426925323,39.514128077272915,-0.0019145299145300054,-0.0003829059829060011,-0.0015316239316240043,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.04999999999999993,1,1,1,-0.0383386581469648,-149491898.8,-78483246.87,0,0,0,0,,0,0,0,0,0,0,0
2022-03-03 08:00:00,1646265600000.0,0.938,0.946,0.883,0.903,114772747.9,1646351999999.0,104789950.5144,155893.0,54637464.8,49908318.8241,0.0,39.51841426925323,39.514128077272915,-0.006264494606375126,-0.0015592237075998262,-0.0047052708987753,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.06299999999999994,1,1,1,-0.06533776301218164,-264264646.70000002,-146701063.12731057,0,0,0,0,,0,0,0,0,0,0,0
2022-03-04 08:00:00,1646352000000.0,0.902,0.903,0.826,0.844,147015719.3,1646438399999.0,127682736.9868,193685.0,68749158.3,59724859.6846,0.0,39.51841426925323,39.514128077272915,-0.01430774905603871,-0.004108928777287604,-0.010198820278751106,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.07700000000000007,1,1,1,0.023696682464454888,-411280366.0,-223081017.11434227,0,0,0,0,,0,0,0,0,0,0,0
2022-03-05 08:00:00,1646438400000.0,0.844,0.883,0.818,0.864,78739554.5,1646524799999.0,67279606.7473,117390.0,40190181.2,34353747.4739,0.0,39.51841426925323,39.514128077272915,-0.01885095127094849,-0.0070573332760197815,-0.011793617994928708,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.06500000000000006,1,1,1,-0.04745370370370372,-332540811.5,-249558409.8936014,0,0,0,0,,0,0,0,0,0,0,0
2022-03-06 08:00:00,1646524800000.0,0.865,0.872,0.819,0.823,76546559.4,1646611199999.0,64450087.9814,105508.0,36800081.1,30997844.1418,0.0,39.51841426925323,39.514128077272915,-0.025466269800909713,-0.010739120580997769,-0.014727149219911945,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.05300000000000005,1,1,1,-0.03645200486026723,-409087370.9,-283211733.79733723,0,0,0,0,,0,0,0,0,0,0,0
2022-03-07 08:00:00,1646611200000.0,0.822,0.847,0.777,0.793,132873670.6,1646697599999.0,108036356.9915,159877.0,63021254.3,51283873.2394,0.0,39.51841426925323,39.514128077272915,-0.03275216016141025,-0.015141728497080266,-0.017610431664329983,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.06999999999999995,1,1,1,0.011349306431273742,-541961041.5,-332134823.3701267,0,0,0,0,,0,0,0,0,0,0,0
2022-03-08 08:00:00,1646697600000.0,0.793,0.821,0.787,0.802,124187499.5,1646783999999.0,99745823.8482,134552.0,61979635.5,49801571.4566,0.0,39.51841426925323,39.514128077272915,-0.0373692861115299,-0.01958724001997019,-0.017782046091559707,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.03399999999999992,1,1,1,0.058603491271820296,-417773542.0,-346937906.2018783,0,0,0,0,,0,0,0,0,0,0,0
2022-03-09 08:00:00,1646784000000.0,0.802,0.863,0.799,0.849,114971836.5,1646870399999.0,96603126.3741,143262.0,58352959.9,49006840.5687,0.0,39.51841426925323,39.514128077272915,-0.036811543923030765,-0.023032100800582305,-0.01377944312244846,45.52479367219982,0,0,0.6063078512838155,0.5992955689335543,0.06399999999999995,1,1,1,-0.04946996466431086,-302801705.5,-339858243.79379755,0,0,0,0,,0,0,0,0,0,0,1
2022-03-10 08:00:00,1646870400000.0,0.849,0.854,0.785,0.807,115081098.3,1646956799999.0,93120654.8534,129266.0,54531990.2,44134350.3798,0.0,39.51841426925323,39.514128077272915,-0.0393054890012946,-0.026286778440724766,-0.013018710560569836,45.52479367219982,0,0,0.8587,0.5992955689335543,0.06899999999999995,-1,1,1,-0.023543990086741018,-417882803.8,-351608066.46085805,0,0,0,0,,0,0,0,0,0,0,-1
2022-03-11 08:00:00,1646956800000.0,0.806,0.819,0.782,0.788,101514757.7,1647043199999.0,80994331.7712,108396.0,49960139.9,39867814.4547,0.0,39.51841426925323,39.514128077272915,-0.04232717829051791,-0.029494858410683396,-0.012832319879834513,45.52479367219982,0,0,0.8458454545454546,0.5992955689335543,0.03699999999999992,-1,1,1,0.0012690355329949554,-519397561.5,-375550423.5113514,0,0,0,0,,0,0,0,0,0,0,0
